acestream-engine 3.2.3-2
acestream-launcher 2.1.0-4
ags-hyprpanel-git r615.0a961ce-1
alsa-utils 1.2.14-1
android-tools 35.0.2-22
android-udev 20250525-1
ani-cli 4.10-1
anydesk-bin 7.0.2-1
arandr 0.1.11-5
arp-scan 1.10.0-4
arpack 3.9.1-3
asusctl 6.1.12-0.1
aylurs-gtk-shell-git 2.3.0.r76.g9e6912b-1
base 3-2
base-devel 1-2
bash-language-server 5.6.0-1
bashbrew 0.1.13-1
bat 0.26.0-1
bind 9.20.16-1
biome 2.3.7-1
blueman 2.4.6-1
bluez 5.85-1
bluez-utils 5.85-1
bore 0.6.0-1
brave-bin 1:1.81.135-1
brightnessctl 0.5.1-3
btop 1.4.5-1
chafa 1.16.2-1
chezmoi 2.67.0-1
cliphist 1:0.7.0-1
cmus 2.12.0-4
code 1.106.1-1
cpio 2.15-3
cursor-bin 1.4.5-9
dart-sass 1.94.2-1
decklink-sdk 1:14.2-1
discord 1:0.0.116-1
dmidecode 3.6-1
dnf5 5.2.17.0-3
docker 1:28.5.2-1
dolphin 25.08.3-1
dracula-cursors-git 4.0.0.r128.gb6eb426-1
dxvk-bin 2.7-1
efibootmgr 18-3
exif 0.6.22-1
expac 10-11
eza 0.23.4-1
feh 3.11.2-2
firefox 145.0.1-1
fish 4.2.1-1
foot 1.25.0-1
fuse2 2.9.9-5
fuseiso 20070708-9
fuzzel 1.13.1-1
fzf 0.67.0-1
gamemode 1.8.2-1
gdb 16.3-1
git 2.52.0-2
git-lfs 3.7.1-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-bluetooth-3.0 47.1-2
go 2:1.25.4-1
gpu-screen-recorder r1149.c7d156a-1
greetd 0.10.3-1
greetd-tuigreet 0.9.1-1
grimblast-git r106.9d67858-1
grub 2:2.14rc1-2
gst-libav 1.26.8-1
gst-plugins-bad 1.26.8-1
gst-plugins-good 1.26.8-1
gstreamer-vaapi 1.26.8-1
gum 0.17.0-1
gvfs 1.58.0-2
